n,r,p
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$FLGTzptnSRjaNVK067W4RQ$oXnrEef/IEc9mmixH2O5f23NZTwd9oGdx4n5D8D16FI,id: 7,requires_reset: true,username: manager})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$FLGTzptnSRjaNVK067W4RQ$oXnrEef/IEc9mmixH2O5f23NZTwd9oGdx4n5D8D16FI,id: 7,requires_reset: true,username: manager})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$FLGTzptnSRjaNVK067W4RQ$oXnrEef/IEc9mmixH2O5f23NZTwd9oGdx4n5D8D16FI,id: 7,requires_reset: true,username: manager})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$FLGTzptnSRjaNVK067W4RQ$oXnrEef/IEc9mmixH2O5f23NZTwd9oGdx4n5D8D16FI,id: 7,requires_reset: true,username: manager})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$7tb9VjgW0gNU1Wum0YtREw$fEouKLvVNV7eThELz1kiG9fgVKaK/T1vjjwsIHkSmMY,id: 8,requires_reset: true,username: readonly})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$7tb9VjgW0gNU1Wum0YtREw$fEouKLvVNV7eThELz1kiG9fgVKaK/T1vjjwsIHkSmMY,id: 8,requires_reset: true,username: readonly})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$7tb9VjgW0gNU1Wum0YtREw$fEouKLvVNV7eThELz1kiG9fgVKaK/T1vjjwsIHkSmMY,id: 8,requires_reset: true,username: readonly})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$7tb9VjgW0gNU1Wum0YtREw$fEouKLvVNV7eThELz1kiG9fgVKaK/T1vjjwsIHkSmMY,id: 8,requires_reset: true,username: readonly})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$2PGgInSkQGN8cafL2KVziw$fSz9lK0zFPa9IEZxfB6H6Q9IHGk1jkghnSdXjTiGxRs,id: 9,requires_reset: true,username: lucas})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$2PGgInSkQGN8cafL2KVziw$fSz9lK0zFPa9IEZxfB6H6Q9IHGk1jkghnSdXjTiGxRs,id: 9,requires_reset: true,username: lucas})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$2PGgInSkQGN8cafL2KVziw$fSz9lK0zFPa9IEZxfB6H6Q9IHGk1jkghnSdXjTiGxRs,id: 9,requires_reset: true,username: lucas})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$2PGgInSkQGN8cafL2KVziw$fSz9lK0zFPa9IEZxfB6H6Q9IHGk1jkghnSdXjTiGxRs,id: 9,requires_reset: true,username: lucas})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$JkK383CoP2tyS8KskUlqIg$Dg/v4jKvGP5FtyRizPX24tIj1URn490pyDBUwL2jAlU,id: 10,requires_reset: true,username: ida})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$JkK383CoP2tyS8KskUlqIg$Dg/v4jKvGP5FtyRizPX24tIj1URn490pyDBUwL2jAlU,id: 10,requires_reset: true,username: ida})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$JkK383CoP2tyS8KskUlqIg$Dg/v4jKvGP5FtyRizPX24tIj1URn490pyDBUwL2jAlU,id: 10,requires_reset: true,username: ida})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$JkK383CoP2tyS8KskUlqIg$Dg/v4jKvGP5FtyRizPX24tIj1URn490pyDBUwL2jAlU,id: 10,requires_reset: true,username: ida})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$Xne/F0ZfOHjenPgyCj3siA$xh4r5vtfYzMnvqiv7Mm2RU5NLAngDXddeZ3R5RZ0Nn0,id: 11,requires_reset: true,username: william})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$Xne/F0ZfOHjenPgyCj3siA$xh4r5vtfYzMnvqiv7Mm2RU5NLAngDXddeZ3R5RZ0Nn0,id: 11,requires_reset: true,username: william})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$Xne/F0ZfOHjenPgyCj3siA$xh4r5vtfYzMnvqiv7Mm2RU5NLAngDXddeZ3R5RZ0Nn0,id: 11,requires_reset: true,username: william})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$Xne/F0ZfOHjenPgyCj3siA$xh4r5vtfYzMnvqiv7Mm2RU5NLAngDXddeZ3R5RZ0Nn0,id: 11,requires_reset: true,username: william})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$D7OPcfW1hQRmlXBpE69RrQ$dDrVkd4e2WrBYcoAFc9WLPlyHNl/1xUc2oTxDAzzKHw,id: 12,requires_reset: true,username: clara})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$D7OPcfW1hQRmlXBpE69RrQ$dDrVkd4e2WrBYcoAFc9WLPlyHNl/1xUc2oTxDAzzKHw,id: 12,requires_reset: true,username: clara})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$D7OPcfW1hQRmlXBpE69RrQ$dDrVkd4e2WrBYcoAFc9WLPlyHNl/1xUc2oTxDAzzKHw,id: 12,requires_reset: true,username: clara})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$D7OPcfW1hQRmlXBpE69RrQ$dDrVkd4e2WrBYcoAFc9WLPlyHNl/1xUc2oTxDAzzKHw,id: 12,requires_reset: true,username: clara})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$uclpX8S5LhZgLBTruwFXmQ$UQZjeO+ziT58SUvHLie5SLZVI5h9jPqUM+BxXvIzlfA,id: 13,requires_reset: true,username: adminn})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$uclpX8S5LhZgLBTruwFXmQ$UQZjeO+ziT58SUvHLie5SLZVI5h9jPqUM+BxXvIzlfA,id: 13,requires_reset: true,username: adminn})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$uclpX8S5LhZgLBTruwFXmQ$UQZjeO+ziT58SUvHLie5SLZVI5h9jPqUM+BxXvIzlfA,id: 13,requires_reset: true,username: adminn})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$uclpX8S5LhZgLBTruwFXmQ$UQZjeO+ziT58SUvHLie5SLZVI5h9jPqUM+BxXvIzlfA,id: 13,requires_reset: true,username: adminn})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example1$hash1,id: 14,requires_reset: true,username: olivers})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example1$hash1,id: 14,requires_reset: true,username: olivers})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example1$hash1,id: 14,requires_reset: true,username: olivers})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example1$hash1,id: 14,requires_reset: true,username: olivers})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example2$hash2,id: 15,requires_reset: true,username: laurah})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example2$hash2,id: 15,requires_reset: true,username: laurah})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example2$hash2,id: 15,requires_reset: true,username: laurah})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example2$hash2,id: 15,requires_reset: true,username: laurah})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example3$hash3,id: 16,requires_reset: true,username: tobiasl})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example3$hash3,id: 16,requires_reset: true,username: tobiasl})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example3$hash3,id: 16,requires_reset: true,username: tobiasl})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example3$hash3,id: 16,requires_reset: true,username: tobiasl})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example4$hash4,id: 17,requires_reset: true,username: sarad})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example4$hash4,id: 17,requires_reset: true,username: sarad})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example4$hash4,id: 17,requires_reset: true,username: sarad})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example4$hash4,id: 17,requires_reset: true,username: sarad})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example5$hash5,id: 18,requires_reset: true,username: victorh})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example5$hash5,id: 18,requires_reset: true,username: victorh})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example5$hash5,id: 18,requires_reset: true,username: victorh})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example5$hash5,id: 18,requires_reset: true,username: victorh})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example6$hash6,id: 19,requires_reset: true,username: juliem})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example6$hash6,id: 19,requires_reset: true,username: juliem})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example6$hash6,id: 19,requires_reset: true,username: juliem})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example6$hash6,id: 19,requires_reset: true,username: juliem})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example7$hash7,id: 20,requires_reset: true,username: andersb})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example7$hash7,id: 20,requires_reset: true,username: andersb})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example7$hash7,id: 20,requires_reset: true,username: andersb})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example7$hash7,id: 20,requires_reset: true,username: andersb})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example8$hash8,id: 21,requires_reset: true,username: majaf})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example8$hash8,id: 21,requires_reset: true,username: majaf})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example8$hash8,id: 21,requires_reset: true,username: majaf})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example8$hash8,id: 21,requires_reset: true,username: majaf})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example9$hash9,id: 22,requires_reset: true,username: sebastiank})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example9$hash9,id: 22,requires_reset: true,username: sebastiank})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example9$hash9,id: 22,requires_reset: true,username: sebastiank})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example9$hash9,id: 22,requires_reset: true,username: sebastiank})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example10$hash10,id: 23,requires_reset: true,username: nannap})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example10$hash10,id: 23,requires_reset: true,username: nannap})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example10$hash10,id: 23,requires_reset: true,username: nannap})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$example10$hash10,id: 23,requires_reset: true,username: nannap})"
"(:UserRole {name: Admin,description: Manage users, change roles, view all data, configure settings,id: 1})",[:HAS_PERMISSION_AS],"(:UserRole {name: Admin,description: Manage users, change roles, view all data, configure settings,id: 1})"
"(:UserRole {name: Admin,description: Manage users, change roles, view all data, configure settings,id: 1})",[:HAS_PERMISSION_AS],"(:UserRole {name: Admin,description: Manage users, change roles, view all data, configure settings,id: 1})"
"(:UserRole {name: Manager,description: Approve requests, view team data, manage employees under them,id: 2})",[:HAS_PERMISSION_AS],"(:UserRole {name: Manager,description: Approve requests, view team data, manage employees under them,id: 2})"
"(:UserRole {name: Manager,description: Approve requests, view team data, manage employees under them,id: 2})",[:HAS_PERMISSION_AS],"(:UserRole {name: Manager,description: Approve requests, view team data, manage employees under them,id: 2})"
"(:UserRole {name: Manager,description: Approve requests, view team data, manage employees under them,id: 2})",[:HAS_PERMISSION_AS],"(:UserRole {name: Manager,description: Approve requests, view team data, manage employees under them,id: 2})"
"(:UserRole {name: Manager,description: Approve requests, view team data, manage employees under them,id: 2})",[:HAS_PERMISSION_AS],"(:UserRole {name: Manager,description: Approve requests, view team data, manage employees under them,id: 2})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})",[:HAS_PERMISSION_AS],"(:UserRole {name: Employee,description: Basic access, view and update own data,id: 3})"
"(:UserRole {name: ReadOnly,description: Can view data but not modify it,id: 4})",[:HAS_PERMISSION_AS],"(:UserRole {name: ReadOnly,description: Can view data but not modify it,id: 4})"
"(:StressMeassure {measure: 7,description: Deadline pressure,id: 1})",[:MEASSURED_BY],"(:StressMeassure {measure: 7,description: Deadline pressure,id: 1})"
"(:StressMeassure {measure: 7,description: Deadline pressure,id: 1})",[:MEASSURED_TO],"(:StressMeassure {measure: 7,description: Deadline pressure,id: 1})"
"(:StressMeassure {measure: 3,description: Smooth progress,id: 2})",[:MEASSURED_BY],"(:StressMeassure {measure: 3,description: Smooth progress,id: 2})"
"(:StressMeassure {measure: 3,description: Smooth progress,id: 2})",[:MEASSURED_TO],"(:StressMeassure {measure: 3,description: Smooth progress,id: 2})"
"(:StressMeassure {measure: 3,description: Smooth progress,id: 3})",[:MEASSURED_BY],"(:StressMeassure {measure: 3,description: Smooth progress,id: 3})"
"(:StressMeassure {measure: 3,description: Smooth progress,id: 3})",[:MEASSURED_TO],"(:StressMeassure {measure: 3,description: Smooth progress,id: 3})"
"(:StressMeassure {measure: 3,description: Smooth progress,id: 4})",[:MEASSURED_BY],"(:StressMeassure {measure: 3,description: Smooth progress,id: 4})"
"(:StressMeassure {measure: 3,description: Smooth progress,id: 4})",[:MEASSURED_TO],"(:StressMeassure {measure: 3,description: Smooth progress,id: 4})"
"(:StressMeassure {measure: 3,description: Smooth progress,id: 5})",[:MEASSURED_BY],"(:StressMeassure {measure: 3,description: Smooth progress,id: 5})"
"(:StressMeassure {measure: 3,description: Smooth progress,id: 5})",[:MEASSURED_TO],"(:StressMeassure {measure: 3,description: Smooth progress,id: 5})"
"(:StressMeassure {measure: 5,description: Moderate stress,id: 6})",[:MEASSURED_BY],"(:StressMeassure {measure: 5,description: Moderate stress,id: 6})"
"(:StressMeassure {measure: 5,description: Moderate stress,id: 6})",[:MEASSURED_TO],"(:StressMeassure {measure: 5,description: Moderate stress,id: 6})"
"(:StressMeassure {measure: 8,description: High workload,id: 7})",[:MEASSURED_BY],"(:StressMeassure {measure: 8,description: High workload,id: 7})"
"(:StressMeassure {measure: 8,description: High workload,id: 7})",[:MEASSURED_TO],"(:StressMeassure {measure: 8,description: High workload,id: 7})"
"(:ProjectTask {name: Setup backend API,id: 1,completed: false})",[:IN_PROGRESS],"(:ProjectTask {name: Setup backend API,id: 1,completed: false})"
"(:ProjectTask {name: Setup backend API,id: 1,completed: false})",[:IN_PROGRESS],"(:ProjectTask {name: Setup backend API,id: 1,completed: false})"
"(:ProjectTask {name: Setup backend API,id: 1,completed: false})",[:CONSISTS_OF],"(:ProjectTask {name: Setup backend API,id: 1,completed: false})"
"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})"
"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})"
"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})"
"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})"
"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})",[:CONSISTS_OF],"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})"
"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})",[:FINNISHED_IN],"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})"
"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})",[:MEASSURED_TO],"(:ProjectTask {time_of_completion: 2025-09-15T14:00:00,name: Design mobile UI,completed: true,id: 2})"
"(:ProjectTask {name: Survey employees,id: 3,completed: false})",[:IN_PROGRESS],"(:ProjectTask {name: Survey employees,id: 3,completed: false})"
"(:ProjectTask {name: Survey employees,id: 3,completed: false})",[:IN_PROGRESS],"(:ProjectTask {name: Survey employees,id: 3,completed: false})"
"(:ProjectTask {name: Survey employees,id: 3,completed: false})",[:CONSISTS_OF],"(:ProjectTask {name: Survey employees,id: 3,completed: false})"
"(:ProjectTask {name: Organize wellness workshops,completed: false,id: 4})",[:IN_PROGRESS],"(:ProjectTask {name: Organize wellness workshops,completed: false,id: 4})"
"(:ProjectTask {name: Organize wellness workshops,completed: false,id: 4})",[:IN_PROGRESS],"(:ProjectTask {name: Organize wellness workshops,completed: false,id: 4})"
"(:ProjectTask {name: Organize wellness workshops,completed: false,id: 4})",[:IN_PROGRESS],"(:ProjectTask {name: Organize wellness workshops,completed: false,id: 4})"
"(:ProjectTask {name: Organize wellness workshops,completed: false,id: 4})",[:CONSISTS_OF],"(:ProjectTask {name: Organize wellness workshops,completed: false,id: 4})"
"(:ProjectTask {name: Create mental health resources portal,completed: false,id: 5})",[:IN_PROGRESS],"(:ProjectTask {name: Create mental health resources portal,completed: false,id: 5})"
"(:ProjectTask {name: Create mental health resources portal,completed: false,id: 5})",[:CONSISTS_OF],"(:ProjectTask {name: Create mental health resources portal,completed: false,id: 5})"
"(:ProjectTask {name: Implement smart energy monitoring system,completed: false,id: 6})",[:IN_PROGRESS],"(:ProjectTask {name: Implement smart energy monitoring system,completed: false,id: 6})"
"(:ProjectTask {name: Implement smart energy monitoring system,completed: false,id: 6})",[:CONSISTS_OF],"(:ProjectTask {name: Implement smart energy monitoring system,completed: false,id: 6})"
"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})"
"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})"
"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})",[:CONSISTS_OF],"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})"
